"Freq [GHz]","dB(S(1,1)) []"
2,-4.53563761604806
2.01,-5.86529107295833
2.02,-7.74802158800953
2.03,-10.543588406536
2.04,-15.1504376233827
2.05,-25.3371840137328
2.06,-21.1047384747793
2.07,-13.8603873331527
2.08,-10.2269338737756
2.09,-7.95646881198281
2.1,-6.40160656088933
2.11,-5.28160450513445
2.12,-4.44731777376012
2.13,-3.81001577384067
2.14,-3.31315598844651
2.15,-2.91903447064164
2.16,-2.60167353390475
2.17,-2.34271318508858
2.18,-2.12890122239985
2.19,-1.95049704006288
2.2,-1.80022508537131
2.21,-1.6725717335454
2.22,-1.56330310702643
2.23,-1.46912846097913
2.24,-1.38746141884909
2.25,-1.31624814783669
2.26,-1.25384205390605
2.27,-1.19891127135619
2.28,-1.1503695782215
2.29,-1.10732425135714
2.3,-1.06903631175849
2.31,-1.03488993008883
2.32,-1.00436867293808
2.33,-0.977036906310555
2.34,-0.952525122072745
2.35,-0.930518273804347
2.36,-0.910746439762592
2.37,-0.892977299028746
2.38,-0.877010030577644
2.39,-0.862670336637114
2.4,-0.849806360143347
2.41,-0.838285317615022
2.42,-0.827990707835518
2.43,-0.818819986566464
2.44,-0.810682620453378
2.45,-0.803498451032365
2.46,-0.797196313564878
2.47,-0.791712866248767
2.48,-0.786991593876129
2.49,-0.782981956756402
2.5,-0.779638661093948
2.51,-0.776921031305253
2.52,-0.774792468213399
2.53,-0.773219979844973
2.54,-0.77217377381502
2.55,-0.771626902126515
2.56,-0.771554950716186
2.57,-0.771935767314161
2.58,-0.772749222203321
2.59,-0.773976997306419
2.6,-0.775602399728152
2.61,-0.777610196461536
2.62,-0.77998646745453
2.63,-0.782718474640778
2.64,-0.785794544881292
2.65,-0.789203965053403
2.66,-0.792936887768087
2.67,-0.796984246404553
2.68,-0.801337678327922
2.69,-0.805989455306627
2.7,-0.810932420275506
2.71,-0.816159929701324
2.72,-0.821665800903075
2.73,-0.82744426376162
2.74,-0.833489916324844
2.75,-0.839797683876213
2.76,-0.846362781088653
2.77,-0.853180676932966
2.78,-0.860247062050994
2.79,-0.867557818340384
2.8,-0.875108990529618
2.81,-0.882896759550407
2.82,-0.890917417539731
2.83,-0.899167344326244
2.84,-0.907642985275813
2.85,-0.91634083038895
2.86,-0.925257394559165
2.87,-0.934389198915806
2.88,-0.943732753188278
2.89,-0.953284539040519
2.9,-0.963040994335454
2.91,-0.972998498299243
2.92,-0.983153357563998
2.93,-0.993501793075955
2.94,-1.00403992786349
2.95,-1.01476377566606
2.96,-1.02566923043127
2.97,-1.03675205669233
2.98,-1.04800788084342
2.99,-1.05943218333372
3,-1.07102029180511
3.01,-1.08276737520055
3.02,-1.09466843887289
3.03,-1.10671832072452
3.04,-1.11891168840989
3.05,-1.13124303763211
3.06,-1.14370669156485
3.07,-1.15629680142891
3.08,-1.16900734825115
3.09,-1.18183214583027
3.1,-1.19476484493081
3.11,-1.2077989387222
3.12,-1.22092776947509
3.13,-1.23414453652138
3.14,-1.24744230547846
3.15,-1.26081401873126
3.16,-1.27425250715844
3.17,-1.28775050308148
3.18,-1.30130065440728
3.19,-1.31489553992609
3.2,-1.32852768571868
3.21,-1.34218958261712
3.22,-1.35587370465524
3.23,-1.36957252843608
3.24,-1.3832785533349
3.25,-1.39698432244859
3.26,-1.41068244419418
3.27,-1.42436561445237
3.28,-1.43802663914528
3.29,-1.45165845713212
3.3,-1.46525416330164
3.31,-1.47880703173644
3.32,-1.49231053882149
3.33,-1.50575838616777
3.34,-1.51914452322138
3.35,-1.53246316942959
3.36,-1.54570883583712
3.37,-1.55887634598974
3.38,-1.57196085602652
3.39,-1.58495787384831
3.4,-1.59786327725663
3.41,-1.6106733309658
3.42,-1.62338470239967
3.43,-1.63599447619489
3.44,-1.64850016734302
3.45,-1.66089973291558
3.46,-1.67319158232786
3.47,-1.68537458610988
3.48,-1.69744808316537
3.49,-1.70941188651232
3.5,-1.72126628751123
3.51,-1.7330120585997
3.52,-1.74465045456378
3.53,-1.75618321238838
3.54,-1.7676125497397
3.55,-1.77894116214299
3.56,-1.79017221892856
3.57,-1.80130935802716
3.58,-1.81235667970398
3.59,-1.82331873932666
3.6,-1.83420053926878
3.61,-1.84500752005472
3.62,-1.85574555085531
3.63,-1.86642091944656
3.64,-1.87704032174517
3.65,-1.88761085103536
3.66,-1.89813998700134
3.67,-1.90863558467887
3.68,-1.91910586343756
3.69,-1.92955939610349
3.7,-1.94000509832836
3.71,-1.95045221830862
3.72,-1.96091032695374
3.73,-1.97138930859907
3.74,-1.98189935235424
3.75,-1.99245094417397
3.76,-2.00305485973336
3.77,-2.01372215818574
3.78,-2.02446417687662
3.79,-2.03529252708354
3.8,-2.04621909084744
3.81,-2.05725601895822
3.82,-2.06841573015358
3.83,-2.07971091158805
3.84,-2.09115452062678
3.85,-2.10275978801697
3.86,-2.11454022248898
3.87,-2.1265096168388
3.88,-2.13868205554341
3.89,-2.15107192396195
